Start Time,09/12/2017 10:00,End Time,09/12/2017  14:00:00 PM,,,,,,where are these?,,,,,,,Interval,,,,,
,PIC401/PID1/OUT.CV,PIC401/PID1/PV.CV,PIC403/PID1/OUT.CV,PIC403/PID1/PV.CV,LI405/OUT.CV,LIC402/PID1/OUT.CV,LIC402/PID1/PV.CV,PIC501/PID1/PV.CV,LVC502-SR/PID1/PV.CV,LIC507/PID1/OUT.CV,LIC507/PID1/PV.CV,LI505/OUT.CV,LVC504/PID1/OUT.CV,LVC504/PID1/PV.CV,LI101/OUT.CV,LI201/OUT.CV,LI504/OUT.CV,TT313/OUT.CV,PUMP1_SUPPORT/CURRENT.CV,PUMP1_SUPPORT/MOTOR_SPEED.CV,PUMP1_SUPPORT/FREQ_SETPOINT.CV
TIMESTAMP,Outlet gas flow 2-phase,,Inlet flow 2-phase,,2-phase liquid level,Outlet liquid flow 2-phase,,,,Outlet oil CW,,,,,,,,,,,
42990.41667,100,1.022341967,100,0.000518115,-0.02937738,100,-0.029162269,0.998340726,53.59981155,0,98.67913055,30.02739906,3.585608959,30.02739906,1.448830962,1.258723974,-1.286525011,0,0,0,0
42990.41668,100,1.022325039,100,0.000518113,-0.029485971,100,-0.029183211,0.998332918,53.59841156,0,98.67397308,30.0278492,3.400417089,30.0278492,1.448832035,1.258185029,-1.286525011,0,0,0,0
42990.41669,100,1.022307992,100,0.00051811,-0.029594559,100,-0.029204151,0.998325229,53.59700012,0,98.66880035,30.02709961,3.215224981,30.02709961,1.448832989,1.257645965,-1.286525011,0,0,0,0
42990.4167,100,1.022289991,100,0.000518107,-0.02970314,100,-0.029225091,0.99831742,53.59560013,0,98.66364288,30.02634048,3.289745092,30.02634048,1.448833942,1.257740021,-1.286525011,0,0,0,0
42990.41671,100,1.022272944,100,0.000518104,-0.029811731,100,-0.02924603,0.998309612,53.59420013,0,98.65847015,30.0255909,3.364264011,30.0255909,1.448835015,1.257833004,-1.286525011,0,0,0,0
42990.41672,100,1.022256017,100,0.000518102,-0.029920319,100,-0.02926697,0.998301804,53.59280014,0,98.65331268,30.0248394,3.438783884,30.0248394,1.448835015,1.257926941,-1.286525011,0,0,0,0
42990.41674,100,1.022238016,100,0.000518099,-0.030028909,100,-0.02928791,0.998294115,53.59140015,0,98.64813995,30.02408028,3.413131952,30.02408028,1.448835969,1.258020997,-1.286525011,0,0,0,0
42990.41675,100,1.022220969,100,0.000518096,-0.03013749,100,-0.02930885,0.998286307,53.59000015,0,98.64296722,30.02333069,3.387480021,30.02333069,1.448837042,1.25811398,-1.286525011,0,0,0,0
42990.41676,100,1.022204041,100,0.000518093,-0.030246081,100,-0.02932979,0.998278499,53.58858871,0,98.63780212,30.02257919,3.361828089,30.02257919,1.448837996,1.258208036,-1.286525011,0,0,0,0
42990.41677,100,1.022186041,100,0.00051809,-0.030354669,100,-0.02935073,0.99827081,53.58718872,0,98.63263702,30.02182007,3.436825037,30.02182007,1.448837996,1.258301973,-1.286525011,0,0,0,0
42990.41678,100,1.022168994,100,0.000518088,-0.03046326,100,-0.02937167,0.998262882,53.58578873,0,98.62747192,30.02107048,3.167195082,30.02107048,1.448838949,1.258396029,-1.286525011,0,0,0,0
42990.41679,100,1.022151947,100,0.000518085,-0.030571841,100,-0.029392609,0.998255193,53.5843811,0,98.62230682,30.02032089,3.276958942,30.02032089,1.448840022,1.258489013,-1.286525011,0,0,0,0
